id;latitude;longitude;scientific_name;common_name;taxon_id;year
9293442;10.87629433;-85.72254116;Tapirus bairdii;Tapir Centroamericano;43355;2017
10228448;10.98100215;-85.75902162;Tapirus bairdii;Tapir Centroamericano;43355;2018
18044298;10.69954516;-85.2483476;Tapirus bairdii;Tapir Centroamericano;43355;2018
19287239;10.83308457;-85.70596616;Tapirus bairdii;Tapir Centroamericano;43355;2018
19303033;10.94412792;-85.64200577;Tapirus bairdii;Tapir Centroamericano;43355;2018
20844841;10.74528311;-85.57016789;Tapirus bairdii;Tapir Centroamericano;43355;2016
29141547;10.81461693;-85.57214032;Tapirus bairdii;Tapir Centroamericano;43355;2016
31417035;10.95714751;-85.41203228;Tapirus bairdii;Tapir Centroamericano;43355;2019
35263626;10.70634938;-85.44351867;Tapirus bairdii;Tapir Centroamericano;43355;2019
36350324;10.81384528;-85.73872613;Tapirus bairdii;Tapir Centroamericano;43355;2019
37116771;10.94080415;-85.35222513;Tapirus bairdii;Tapir Centroamericano;43355;2019
37116855;10.97564003;-85.29420873;Tapirus bairdii;Tapir Centroamericano;43355;2019
37160434;10.84908167;-85.69146572;Tapirus bairdii;Tapir Centroamericano;43355;2019
38155806;10.8467241;-85.70395722;Tapirus bairdii;Tapir Centroamericano;43355;2018
45824342;10.77416646;-85.3626505;Tapirus bairdii;Tapir Centroamericano;43355;2020
59122189;10.91530419;-85.60085405;Tapirus bairdii;Tapir Centroamericano;43355;2010
98336484;10.84007642;-85.57877495;Tapirus bairdii;Tapir Centroamericano;43355;2021
98438096;10.9118279;-85.61098121;Tapirus bairdii;Tapir Centroamericano;43355;2021
104071051;10.98096037;-85.68079834;Tapirus bairdii;Tapir Centroamericano;43355;2021
107460317;10.78110981;-85.39207388;Tapirus bairdii;Tapir Centroamericano;43355;2022
108340837;10.97218001;-85.61595909;Tapirus bairdii;Tapir Centroamericano;43355;2022
126791762;10.61535466;-85.32056024;Tapirus bairdii;Tapir Centroamericano;43355;2022
126862781;10.96029896;-85.73771136;Tapirus bairdii;Tapir Centroamericano;43355;2022
129083569;10.74255874;-85.69530829;Tapirus bairdii;Tapir Centroamericano;43355;2022
136028286;10.92738906;-85.40423052;Tapirus bairdii;Tapir Centroamericano;43355;2022
136269995;10.82231085;-85.50028818;Tapirus bairdii;Tapir Centroamericano;43355;2022
138408206;10.99417575;-85.44621662;Tapirus bairdii;Tapir Centroamericano;43355;2022
138445470;10.89231771;-85.43510157;Tapirus bairdii;Tapir Centroamericano;43355;2022
139070342;10.87845164;-85.65108683;Tapirus bairdii;Tapir Centroamericano;43355;2022
143470487;10.98004183;-85.69329284;Tapirus bairdii;Tapir Centroamericano;43355;2022
145131739;10.82474835;-85.60956581;Tapirus bairdii;Tapir Centroamericano;43355;2022
145554880;10.9483218;-85.7188535;Tapirus bairdii;Tapir Centroamericano;43355;2022
146836969;10.93417001;-85.59071697;Tapirus bairdii;Tapir Centroamericano;43355;2023
147564513;10.85442513;-85.74963329;Tapirus bairdii;Tapir Centroamericano;43355;2023
153232169;10.68074507;-85.33474294;Tapirus bairdii;Tapir Centroamericano;43355;2023
155095218;10.65223732;-85.25177782;Tapirus bairdii;Tapir Centroamericano;43355;2023
156447950;10.78260581;-85.4863582;Tapirus bairdii;Tapir Centroamericano;43355;2022
161341362;10.64813747;-85.20968594;Tapirus bairdii;Tapir Centroamericano;43355;2023
163060279;10.7983446;-85.35623782;Tapirus bairdii;Tapir Centroamericano;43355;2023
164306382;10.68842037;-85.23305817;Tapirus bairdii;Tapir Centroamericano;43355;2023
171161877;10.82443832;-85.71345246;Tapirus bairdii;Tapir Centroamericano;43355;2023
177452647;10.96232701;-85.3852008;Tapirus bairdii;Tapir Centroamericano;43355;2023
181100819;10.78908068;-85.31323358;Tapirus bairdii;Tapir Centroamericano;43355;2023
189625911;10.86516727;-85.33269774;Tapirus bairdii;Tapir Centroamericano;43355;2023
192159181;10.65491994;-85.20666299;Tapirus bairdii;Tapir Centroamericano;43355;2023
193343303;10.97524669;-85.71537026;Tapirus bairdii;Tapir Centroamericano;43355;2018
193961874;10.81624585;-85.66495078;Tapirus bairdii;Tapir Centroamericano;43355;2020
198902191;10.99558367;-85.2829117;Tapirus bairdii;Tapir Centroamericano;43355;2024
199389058;10.69498285;-85.38813718;Tapirus bairdii;Tapir Centroamericano;43355;2024
201645333;10.74468331;-85.33352586;Tapirus bairdii;Tapir Centroamericano;43355;2024
203349893;10.74352251;-85.30089745;Tapirus bairdii;Tapir Centroamericano;43355;2024
208104295;10.63958164;-85.27368595;Tapirus bairdii;Tapir Centroamericano;43355;2021
213563926;10.67423853;-85.23393481;Tapirus bairdii;Tapir Centroamericano;43355;2024
215980341;10.78651777;-85.31584829;Tapirus bairdii;Tapir Centroamericano;43355;2024
222448803;10.69759494;-85.59000285;Tapirus bairdii;Tapir Centroamericano;43355;2024
237468559;10.68424955;-85.27847292;Tapirus bairdii;Tapir Centroamericano;43355;2024
246384595;10.81126182;-85.61074462;Tapirus bairdii;Tapir Centroamericano;43355;2024
664019;10.753539;-85.515349;Canis latrans;Coyote;42051;2014
672242;10.75312331;-85.5146674;Canis latrans;Coyote;42051;2014
27118760;10.83671667;-85.62113833;Canis latrans;Coyote;42051;2019
30846356;10.71329103;-85.58991982;Canis latrans;Coyote;42051;2019
31351198;10.70606967;-85.50030148;Canis latrans;Coyote;42051;2019
57708000;10.83446282;-85.61326325;Canis latrans;Coyote;42051;2018
65975887;10.879493;-85.592554;Canis latrans;Coyote;42051;2020
67453173;10.63767359;-85.66772291;Canis latrans;Coyote;42051;2020
93069329;10.63864167;-85.66466333;Canis latrans;Coyote;42051;2021
106562932;10.89054222;-85.59976403;Canis latrans;Coyote;42051;2022
126829585;10.8905845;-85.5994113;Canis latrans;Coyote;42051;2022
134187028;10.8844012;-85.1863374;Canis latrans;Coyote;42051;2020
142014505;10.76731004;-85.35836129;Canis latrans;Coyote;42051;2013
148288888;11.02508829;-85.63639127;Canis latrans;Coyote;42051;2023
164564323;10.89084413;-85.59913471;Canis latrans;Coyote;42051;2023
173586377;10.586175;-85.41502097;Canis latrans;Coyote;42051;2023
229403062;10.6261906;-85.6781974;Canis latrans;Coyote;42051;2024
241371045;10.64623667;-85.466805;Canis latrans;Coyote;42051;2024
243736861;10.76878999;-85.19510854;Canis latrans;Coyote;42051;2024
760856;10.837116;-85.619135;Odocoileus virginianus;Venado de cola blanca;42223;2014
1288129;10.8362416;-85.61671626;Odocoileus virginianus;Venado de cola blanca;42223;2015
1515873;10.89249;-85.60336;Odocoileus virginianus;Venado de cola blanca;42223;2006
4559552;10.78887605;-85.66945553;Odocoileus virginianus;Venado de cola blanca;42223;2016
